Symbol	Entrez Gene Name	Location	Type(s)	expressed in human macrophages	expressed in mouse macrophages	"Cell or tissue expression, human"	"Cell or tissue expression, mouse"
PRDX1	peroxiredoxin 1	Cytoplasm	enzyme	monocyte-derived macrophages (9665274)	J774 cell line (11149929)	"prostate cancer cell lines, breast cancer cell lines, cervical cancer cell lines, melanoma cell lines, HUVEC cells, fibroblast cell lines, germinal center B lymphocytes, lung, peripheral blood, tonsil, T lymphocytes, bone marrow cell lines, brain, brain cancer cell lines, breast cell lines, breast milk, colostrum, epithelial cell lines, fibroblast-like synoviocytes, hematopoietic progenitor cells, knee, large-cell diffuse lymphoma, macrophages, mast cells, mononuclear leukocytes, nipple aspirate fluid, ovary, pancreas, pancreatic adenocarcinoma, plasma, skin cancer cell lines, spleen, sputum, squamous carcinoma cells, squamous-cell carcinoma, stromal cell lines, synovial membrane, tear, thymus gland, umbilical cord, urine, Other"	"bone marrow cell lines, brain, hematopoietic cell lines, spleen cell lines, astrocytes, cerebrospinal fluid, fibroblast cell lines, leukocyte cell lines, liver, lung, lung tissue, Other"
PRKAR1A	"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)"	Cytoplasm	kinase	not known	not known	"leukemia cell lines, cervical cancer cell lines, kidney cancer cell lines, retina, T lymphocytes, colon cancer cell lines, endometrial stromal cells, peripheral blood, brain cancer cell lines, carcinoma cell lines, hepatoma cell lines, megakaryocytes, osteoblasts, peripheral T lymphocyte, plasma, retinal rods, amacrine cells, blood platelets, bone cancer cell lines, bone marrow cell lines, brain, epithelial cell lines, ganglion cells, granulocytes, heart tissue, hematopoietic cell lines, horizontal cells, photoreceptor cells, skin cell lines, stem cells"	"spleen, brain, endocrine cell lines, fibroblast cell lines, heart, muscle, myofiber, skeletal muscle, testis, diaphragm, hippocampus, intercostal muscle, kidney, lung, olfactory bulb, olfactory epithelium, sperm, striatum, thymus gland, tongue"
PSAP	prosaposin	Extracellular Space	other	monocyte-derived macrophages (9665274)	not known	"fibroblasts, cerebrospinal fluid, urine, brain, liver, melanoma, spleen, stratum corneum, acute myeloid leukemia blast cells, bone marrow, colon cancer cell lines, glandular epithelial cells, hair canal, heart tissue, hepatocytes, intraductal papillary mucinous neoplasm, left foot, left scapula, leukocyte cell lines, lymphoma cell lines, macrophages, memory T lymphocytes, plantar skin, plasma, pneumocytes, tear, Other"	"astrocytes, testis, neural stem cells, brain, cerebellum, ovary, Bergmann glia, Purkinje cells, Sertoli cells, aorta, cerebral cortex, corpus luteum, liver, mesenchyme, ovarian cancer cell lines, seminiferous tubules, striatum, stromal cells, tail, thymoma cell lines"
PSMB1	"proteasome (prosome, macropain) subunit, beta type, 1"	Cytoplasm	peptidase	not known	not known	"kidney cell lines, cervical cancer cell lines, squamous cell carcinoma cell lines, leukemia cell lines, lung cell lines, lymphoma cell lines, acute myeloid leukemia blast cells, bone marrow, bone marrow cells, fibroblast-like synoviocytes, frontal cortex, knee, striatum, substantia nigra pars compacta, synovial membrane, urine, Other"	"brain, anterior tibial muscle, fibroblast cell lines, hippocampal cells, kidney cell lines, trophoblast giant cells"
PSMC2	"proteasome (prosome, macropain) 26S subunit, ATPase, 2"	Nucleus	peptidase	not known	not known	"kidney cell lines, breast cancer cell lines, cervical cancer cell lines, colorectal tissue, plasma, substantia nigra pars compacta, breast carcinoma, frontal cortex, leukemia cell lines, lymph node, mucosa, tumor cells"	"bone marrow cell lines, hematopoietic cell lines, skeletal muscle cells"
PSME1	"proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)"	Cytoplasm	other	not known	not known	"kidney cell lines, leukemia cell lines, carcinoma cell lines, cervical cancer cell lines, dendritic cells, lung cancer cell lines, lymphoma cell lines, peripheral blood, squamous cell carcinoma cell lines, B-lymphocyte derived cell lines, acute myeloid leukemia blast cells, blood cells, bone marrow, fibroblast cell lines, foreskin of penis, frontal cortex, leukocyte cell lines, striatum, substantia nigra pars compacta, tear, urine, Other"	"brain, cerebellum, fibroblast cell lines, lymphoma cell lines, hippocampal cells, hippocampus, kidney cell lines, kidney tissue, leukocyte cell lines, liver tissue, spleen tissue, thymus tissue, trophoblast giant cells"
RPL3	ribosomal protein L3	Cytoplasm	other	not known	not known	"melanoma, blood cells, cervical cancer cell lines, embryonic cell lines, epithelial cell lines, heart tissue, hepatocytes, kidney cell lines, left foot, left scapula, leukemia cell lines, mesenchymal stem cells, natural killer cells, neuroblastoma cell lines, plantar skin"	not known
RPL4	ribosomal protein L4	Cytoplasm	enzyme	not known	not known	"squamous cell carcinoma cell lines, PBMCs, cervical cancer cell lines, colon cancer cell lines, bone marrow, cerebrospinal fluid, embryonic cell lines, embryonic stem cells, endothelial cell lines, epidermis, epithelial cell lines, heart tissue, kidney cell lines, leukemia cell lines, mononuclear leukocytes, mucosa, neural precursor cells, neuroblastoma cell lines, pyloric antrum"	"implantation site, uterus, liver"
RPL5	ribosomal protein L5	Cytoplasm	other	not known	not known	"cervical cancer cell lines, bone cancer cell lines, embryonic cell lines, epithelial cell lines, kidney cell lines, astrocytoma, brain, embryonic stem cells, heart tissue, leukemia cell lines, lymphoma cell lines, mantle cell lymphoma cells, neuroblastoma cell lines, plasma"	"epithelial tissue, fibroblast cell lines, gastrocnemius, intestine, intraepithelial T lymphocytes "
RPS10	ribosomal protein S10	Cytoplasm	other	not known	not known	"breast cell lines, epithelial cell lines, melanoma, breast tissue, cervical cancer cell lines, colonic tissue, endothelial cells, left foot, left scapula, leukemia cell lines, leukocytes, ovary, plantar skin, prostate gland, small intestine tissue, spleen tissue, testicular tissue, thymus tissue"	liver
RPS14	ribosomal protein S14	Cytoplasm	translation regulator	not known	not known	"neuroblastoma cell lines, squamous cell carcinoma cell lines, brain cancer cell lines, leukemia cell lines, T lymphocytes, helper T lymphocytes, peripheral blood, rhabdomyosarcoma cell lines"	"liver, epithelial tissue, fibroblast cell lines, intestine, intraepithelial T lymphocytes"
RPS15	ribosomal protein S15	Cytoplasm	other	not known	not known	"leukemia cell lines, melanoma, embryonic cell lines, embryonic stem cells, epithelial cell lines, kidney cell lines, left foot, left scapula, neural precursor cells, neuroblastoma cell lines, plantar skin"	not known
RPS3	ribosomal protein S3	Cytoplasm	enzyme	not known	not known	"breast, breast cancer cell lines, cervical cancer cell lines, ductal carcinoma, embryonic cell lines, epithelial cell lines, kidney cell lines, breast carcinoma, ductal carcinoma in situ, ductal epithelium, embryonic stem cells, heart tissue, leukemia cell lines, lymph node, macrophages, neural precursor cells, neuroblastoma cell lines, tear, urine"	"epithelial tissue, intestine, intraepithelial T lymphocytes"
RPS3A	ribosomal protein S3A	Cytoplasm	other	monocytes (10419873)	not known	"acute myeloid leukemia blast cells, leukemia cell lines, cerebrospinal fluid, cervical cancer cell lines, chronic myelomonocytic leukemia blast cells, embryonic cell lines, embryonic stem cells, epithelial cell lines, heart tissue, hepatocellular carcinoma, hepatocytes, kidney cell lines, liver, memory T lymphocytes, neural precursor cells, neuroblastoma cell lines, peripheral blood monocytes, tear"	"epithelial tissue, fibroblast cell lines, gastrocnemius, intestine, intraepithelial T lymphocytes "
RPS4X	"ribosomal protein S4, X-linked"	Cytoplasm	other	not known	RAW264.7 cell line (19924255)	"squamous cell carcinoma cell lines, lymphocytes, peripheral blood, hepatocellular carcinoma, hepatocytes, leukemia cell lines, lymphoblastoid cell lines, mesenchymal stem cells, neuroblastoma cell lines"	"implantation site, uterus, embryo, blastocyst, dorsal root ganglion cells, liver, macrophage cancer cell lines, retina"
S100A10	S100 calcium binding protein A10	Cytoplasm	other	monocyte-derived macrophages (17413040)	"thioglycollate-elicited peritoneal macrophages (17690254), monocytes (17690254), J774 cell line (17690254), RAW264.7 (17690254)"	"colon cancer cell lines, prostate gland, breast cancer cell lines, cervical cancer cell lines, HUVEC cells, ductal epithelium, fibrosarcoma cell lines, gastric adenocarcinoma, glandular epithelial cells, leukemia cell lines, lymphoma cell lines, monocyte-derived macrophages, neuroblastoma cell lines, prostate cancer cell lines, brain cancer cell lines, cancer cells, embryonic cell lines, epithelial cell lines, gastric epithelium, hepatocytes, kidney cell lines, leiomyoma, leiomyosarcoma, lung cell lines, myometrium, neural precursor cells, neutrophils, pancreas, prostatic tissue, Other"	"macrophage cancer cell lines, liver, dendritic cells, peritoneal macrophages, spleen, corticospinal neurons, layer V, retina, B lymphocytes, T lymphocytes, endothelial cells, epithelial tissue, intestine, intraepithelial T lymphocytes, lung cancer cell lines, naive T lymphocytes, peripheral blood monocytes, projection neurons, prostate gland, skeletal muscle, splenocytes, stroma"
S100A11	S100 calcium binding protein A11	Cytoplasm	other	tumor associated macrophages in situ (15205318)	not known	"brain cancer cell lines, fibroblast cell lines, fibroblasts, epithelial tissue, skin, leiomyoma, myometrium, adenocarcinoma cell lines, breast cancer cell lines, carcinoma cell lines, colon cancer cell lines, dendritic cells, endothelial cells, epidermal cells, epidermis, epithelial cells, fibrocytes, glandular ductal cells, hepatoma cell lines, intraductal papillary mucinous neoplasm, keratinocytes, leiomyosarcoma, leukocytes, lung, macrophages, mucosa, nipple aspirate fluid, pancreas, pancreatic adenocarcinoma, peripheral blood, plasma cells, pyloric antrum, sarcoma cell lines, sputum, squamous-cell carcinoma, stromal cells, suprabasal layer of epidermis, tear, urine, Other"	"dorsal root ganglion, primary decidual zone, antimesometrial decidua, epithelial tissue, intestine, intraepithelial T lymphocytes, liver, neurons"
S100A4	S100 calcium binding protein A4	Cytoplasm	other	not known	bone marrow-derived macrophages (20519440)	"breast cancer cell lines, pancreatic cancer cell lines, epithelial cell lines, eye cell lines, fibroblasts, intraductal papillary mucinous neoplasm, smooth muscle cells, myometrium, plasma, plasma cells, skin, skin cancer cell lines, vasculature, adipocytes, bone cancer cell lines, bone marrow, bone marrow cells, cord blood, dendritic cells, epithelial tissue, helper T lymphocytes, hippocampal neurons, leiomyoma, leiomyosarcoma, leukocyte cell lines, lymphoma cell lines, myeloma cell lines, neutrophils, renal medulla, renal papilla, tear, temporal lobe, tonsil, urine, Other"	"fibroblast cell lines, dendritic cells, spleen, endothelial cell lines, lung, mononuclear leukocytes, spleen cell lines, adipocytes, bone marrow-derived macrophages, breast cancer cell lines, fibroblasts, leukocyte cell lines, naive T lymphocytes, pituitary cancer cell lines, prostate gland, renal papilla, stroma, tumor"
S100A6	S100 calcium binding protein A6	Cytoplasm	transporter	not known	not known	"pancreatic cancer cell lines, brain cancer cell lines, bone marrow, cervical cancer cell lines, pancreatic adenocarcinoma, plasma cells, urine, T lymphocytes, acute myeloid leukemia blast cells, adenocarcinoma cell lines, breast cancer cell lines, colon cancer cell lines, embryonic stem cells, epithelial cells, intraductal papillary mucinous neoplasm, leiomyoma, leiomyosarcoma, myometrium, squamous cell carcinoma cell lines, tear, tonsil, Other"	"spleen, dendritic cells, primary decidual zone, kidney cell lines, B lymphocytes, endothelial cell lines, heart ventricle, pancreatic cancer cell lines, spinal cord, spleen cell lines"
SH3BGRL	SH3 domain binding glutamic acid-rich protein like	Cytoplasm	other	not known	not known	"cervical cancer cell lines, endometrium, urine, uterus, Other"	not known
SLC25A5	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"	Cytoplasm	transporter	not known	not known	"cervical cancer cell lines, kidney, skin cancer cell lines, squamous cell carcinoma cell lines, carcinoma cell lines, chromophobic carcinoma, embryonic cell lines, endometrium, epidermis, epithelial cell lines, epithelial cells, fibroblasts, foreskin of penis, keratinocytes, kidney cell lines, leukemia cell lines, liver, memory T lymphocytes, muscle, oxyphilic adenoma, prostate gland, uterus"	not known
ST13	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	Cytoplasm	other	not known	not known	"embryonic cell lines, epithelial cell lines, kidney cell lines, cervical cancer cell lines, brain, colon, heart, kidney, liver, lung, ovary, pancreas, peripheral blood leukocytes, placenta, prostate gland, skeletal muscle, small intestine, spleen, tear, testis, thymus gland, urine"	liver
TXNRD1	thioredoxin reductase 1	Cytoplasm	enzyme	macrophages from atherosclerotic plaque (11264458)	not known	"leukocyte cell lines, lymphoma cell lines, embryonic cell lines, epithelial cell lines, kidney cell lines, breast cancer cell lines, leukemia cell lines, B-lymphocyte derived cell lines, atherosclerotic lesion, cervical cancer cell lines, lymphocytes, melanoma cell lines, monocytes, plasma, prostate cancer cell lines, skin, B lymphocytes, HUVEC cells, blood, bone marrow, carcinoma cell lines, colon cancer cell lines, endothelial cells, eosinophils, heart, hepatoma cell lines, keratinocytes, kidney, liver, lung, lung cancer cell lines, macrophages, melanocytes, mesenchymal stem cells, mesothelioma cell lines, neutrophils, ovary, prostate gland, red blood cells, skin cancer cell lines, testis, trachea, uterus, Other"	"brain, cerebellar cortex, cerebral neocortex, liver, cortical subplate, dentate gyrus, fibroblasts, heart, islets of Langerhans, B lymphocytes, accessory olfactory bulb, anterior amygdaloid area, anterior cingulate cortex, anterior olfactory nucleus, bed nucleus of stria terminalis, breast cancer cell lines, central amygdaloid nucleus, cerebellar lingula, cerebellar vermian lobule IV-V, cerebellar vermian lobule VI, cerebellum, claustrum, copula pyramidis, cortex-amygdala transition zone, crus 1, crus 2, dentate nucleus of cerebellum, ectorhinal cortex, endopiriform nucleus, endothelial cells, fastigial nucleus, flocculus, folium-tuber vermis, frontal pole, globus pallidus, hippocampal CA1 region, hippocampal CA2 region, hippocampal CA3 region, hippocampus, interpositus nucleus, lateral septal nucleus, layer VIb of cerebral cortex, lobule II, lobule iii, lobule iv, magnocellular nucleus, medial amygdaloid nucleus, nodulus, nucleus accumbens, nucleus of the lateral olfactory tract, olfactory bulb, olfactory tubercle, osteoclast-like cells, paraflocculus, paramedian lobule, piriform cortex, piriform-amygdalar area, posterior parietal association area, postpiriform transition area, pyramus, retrosplenial cortex, simple lobule, somatomotor cortex, somatosensory cortex, spleen, striatum, subiculum, substantia innominata, tenia tecta, testis, triangular septal nucleus, uvula of cerebellum, vermian lobule V, visual cortex"
VAT1	vesicle amine transport protein 1 homolog (T. californica)	Plasma Membrane	transporter	not known	not known	"clear-cell adenocarcinoma, endometrial adenocarcinoma, mast cells, mucinous adenocarcinoma, peripheral blood, serous adenocarcinoma, urine"	Other
VIM	vimentin	Cytoplasm	other	"monocytes (19834619), monocyte-derived macrophages (19834619)"	J774 cell line (11149929)	"breast cancer cell lines, pancreatic cancer cell lines, prostate cancer cell lines, fibroblast cell lines, epithelial cell lines, embryonic cell lines, fibroblasts, kidney cell lines, brain cancer cell lines, kidney, cervical cancer cell lines, carcinoma cell lines, colon cancer cell lines, prostate gland, synovial membrane, breast cell lines, mesenchymal stem cells, astrocytes, brain, dermis, endothelial cells, glioblastoma, leukemia cell lines, peripheral blood, astrocytoma, blood, bone marrow, breast, clear-cell adenocarcinoma, dendritic cells, dermal fibroblasts, gonadal cell lines, lung cell lines, mesenchymal cells, neuroblastoma cell lines, podocytes, skin, stromal cells, HUVEC cells, blood platelets, cells, epidermis, epithelial cells, face, fibroblast-like synoviocytes, fibrosarcoma cell lines, lung cancer cell lines, melanoma cell lines, mesangial cells, retina, skin cell lines, squamous cell carcinoma cell lines, stroma, tear, thyroid tumor cell lines, urine, ventricular zone, Kaposi's sarcoma cells, Langerhans cells, T lymphocytes, adenocarcinoma, astrocyte precursor cells, bone marrow cells, breast carcinoma, cardiac fibroblasts, cerebral neocortex, cervix, colon, cord blood, crypt, cutaneous angiofibroma, decidual cells, demyelinating lesions of multiple sclerosis, endocrine cell lines, endometrial stromal cells, epithelial tissue, fibrin clot, fibrocytes, glomerular cells, heart tissue, hematopoietic cells, hematopoietic progenitor cells, hepatoma cell lines, interstitial cells, intestine, islets of Langerhans, kidney cancer cell lines, kidney cells, knee, liver, liver tissue, lung, lung tissue, macrophages, melanocytes, microvascular endothelial cells, monocyte-derived macrophages, monocytes, mononuclear leukocytes, muscle cells, myoepithelial cells, nephroblasts, neural stem cells, neutrophils, ovary, pancreas, papillary renal cell carcinoma, peripheral blood leukocytes, peripheral blood monocytes, placental villus, plasma, polyp, reactive astrocytes, renal glomerulus, saphenous vein, skeletal muscle cells, small intestine, stem cells, temporal lobe, thyroid gland tissue, tonsil, tumor, urothelial cells, vascular endothelial cells, vascular smooth muscle cells, Other"	"fibroblast cell lines, brain, leukocyte cell lines, cells, cerebellum, retina, Muller glia, fibroblasts, lymphoma cell lines, melanoma cell lines, astrocytes, corpus callosum, inner nuclear layer, liver, mammary gland, polyp, small intestine, Bergmann glia, bone marrow cell lines, breast cell lines, embryonic stem cells, epithelial cell lines, granule cell layer, hematopoietic cell lines, hepatocytes, hippocampus, kidney cell lines, liver cell lines, skin cell lines, stroma, white matter, B lymphocytes, blood vessel, breast cancer cell lines, capillary vessel, carotid artery, cervical spinal cord, embryonic cell lines, endothelial cells, ependymal cells, eye, fat pad, interfollicular mesenchyme, kidney, lung cancer cell lines, macrophage cancer cell lines, mammary epithelial cells, mesenchyme, naive B cells, naive T lymphocytes, prostate gland, radial glial cells, rectum, renal tubular epithelial cells, retinal cells, smooth muscle cells, spinal cord, spleen, striatum, stromal cells, subventricular zone, telencephalon, thyroid gland, uterine epithelial cells, ventricular zone, Other"
VPS35	vacuolar protein sorting 35 homolog (S. cerevisiae)	Cytoplasm	transporter	not known	not known	"cervical cancer cell lines, brain, colon, heart, leukocytes, skeletal muscle, kidney, kidney tissue, leukemia cell lines, liver, liver tissue, lung, lung tissue, placenta, placental tissue, small intestine, small intestine tissue, spleen, spleen tissue, squamous cell carcinoma cell lines, thymus gland, thymus tissue"	brain
YWHAB	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide"	Cytoplasm	transcription regulator	not known	J774 cell line (15698949)	"colon cancer cell lines, lymphoma cell lines, brain, brain cancer cell lines, breast, cerebral cortex, cervical cancer cell lines, corneal limbus, epithelial cells, eye, neurons, cerebrum, embryonic cell lines, epithelial cell lines, fibroblast-like synoviocytes, frontal cortex, germ cell tumor cell lines, keratinocytes, kidney cell lines, knee, leiomyoma cells, liver cell lines, microvascular endothelial cells, nipple aspirate fluid, sputum, stem cells, synovial membrane, tear, urine"	"epidermis, skin, bone marrow cell lines, colon, fibroblast cell lines, hematopoietic cell lines, kidney cell lines, leukocyte cell lines, naive T lymphocytes, neuronal hybrid cells, olfactory bulb, brain, brain tissue, granular layer of epidermis, keratinocytes, lung, macrophage cancer cell lines, mesencephalon, mononuclear leukocytes, skeletal muscle, skin tissue, suprabasal keratinocytes, tumor"
YWHAZ	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"	Cytoplasm	enzyme	momocyte-derived macrophages (16895554)	J774 cell line (15698949)	"pancreatic cancer cell lines, lymphoma cell lines, colon cancer cell lines, blood platelets, brain, embryonic cell lines, epithelial cell lines, epithelial cells, kidney cell lines, leukemia cell lines, pancreatic adenocarcinoma, brain cancer cell lines, breast, cerebral cortex, corneal limbus, eye, fibroblast cell lines, neurons, Dorsolateral prefrontal cortex, acute myeloid leukemia blast cells, bone cancer cell lines, bone marrow, cells, cerebrum, cervical cancer cell lines, cytotrophoblastic cells, fibroblast-like synoviocytes, frontal cortex, germ cell tumor cell lines, hypothalamus, keratinocytes, knee, leiomyoma cells, leukocyte cell lines, monocyte-derived macrophages, nipple aspirate fluid, pancreatic tissue, placenta, prostate gland, sputum, stem cells, synovial membrane, tear, urine"	"striatum, bone marrow cell lines, brain, colon, hematopoietic cell lines, leukocyte cell lines, neuronal hybrid cells, olfactory bulb, astrocytes, brain tissue, cerebrospinal fluid, fibroblast cell lines, hypothalamus, lung cancer cell lines, macrophage cancer cell lines, mesencephalon, neurons, skin tissue, tumor"
